,방송일시,노출(분),마더코드,상품코드,상품명,상품군,판매단가,취급액,날짜,이익,누적노출
37,2019-01-01 17:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,107103000,2019-01-01 00:00:00,107103000,60
40,2019-01-01 18:40:00,20,100435,201350,우리바다 손질왕꼬막 24팩,농수축,39900,101468000,2019-01-01 00:00:00,101468000,60
43,2019-01-01 19:40:00,20,100607,201892,푸마 에어핏 서포트 브라세트 15종+4종,속옷,119000,84610000,2019-01-01 00:00:00,84610000,60
48,2019-01-01 20:40:00,20,100150,200533,일시불 LG 통돌이 세탁기,가전,439000,68320000,2019-01-01 00:00:00,68320000,60
49,2019-01-01 20:40:00,20,100150,200465,무이자 LG 통돌이 세탁기,가전,489000,46068000,2019-01-01 00:00:00,46068000,60
52,2019-01-01 21:40:00,20,100049,202044,마리노블 밍크 롱코트,의류,499000,84562000,2019-01-01 00:00:00,84562000,60
54,2019-01-01 22:30:00,30,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,77764000,2019-01-01 00:00:00,77764000,60
57,2019-01-01 23:40:00,20,100718,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,89900,60010000,2019-01-01 00:00:00,60010000,60
62,2019-01-02 00:40:00,20,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,의류,69900,16461000,2019-01-02 00:00:00,16461000,60
63,2019-01-02 00:40:00,20,100377,201231,그렉노먼 여성 캐시터치 터틀넥 4종,의류,69900,10641000,2019-01-02 00:00:00,10641000,60
66,2019-01-02 01:40:00,20,100193,200652,레이프릴 무빙 맥시풀커버 브라팬티,속옷,69900,18695000,2019-01-02 00:00:00,18695000,60
69,2019-01-02 06:40:00,20,100229,200800,벨라홈 논슬립 옷걸이 세트,생활용품,29800,14371000,2019-01-02 00:00:00,14371000,60
72,2019-01-02 07:40:00,20,100315,201002,(직매입) 종근당건강 아이클리어 루테인,건강기능,69000,30126000,2019-01-02 00:00:00,30126000,60
75,2019-01-02 08:40:00,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,34822000,2019-01-02 00:00:00,34822000,60
78,2019-01-02 09:40:00,20,100454,201409,NNF 쿠션퍼자켓+베스트,의류,39900,38449000,2019-01-02 00:00:00,38449000,60
89,2019-01-02 10:40:00,20,100448,202100,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,148000,13024000,2019-01-02 00:00:00,13024000,60
87,2019-01-02 10:40:00,20,100448,202098,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),주방,158000,44478000,2019-01-02 00:00:00,44478000,60
88,2019-01-02 10:40:00,20,100448,202093,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),주방,168000,18925000,2019-01-02 00:00:00,18925000,60
90,2019-01-02 10:40:00,20,100448,202095,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,158000,3368000,2019-01-02 00:00:00,3368000,60
92,2019-01-02 11:30:00,30,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,66392000,2019-01-02 00:00:00,66392000,60
101,2019-01-02 12:40:00,20,100765,202230,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,238000,25462000,2019-01-02 00:00:00,25462000,60
104,2019-01-02 12:40:00,20,100765,202237,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,208000,4095000,2019-01-02 00:00:00,4095000,60
102,2019-01-02 12:40:00,20,100765,202238,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,228000,21428000,2019-01-02 00:00:00,21428000,60
103,2019-01-02 12:40:00,20,100765,202229,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,218000,6384000,2019-01-02 00:00:00,6384000,60
107,2019-01-02 13:40:00,20,100844,202491,하늘내린 용대리황태10미,농수축,32900,42466000,2019-01-02 00:00:00,42466000,60
109,2019-01-02 14:30:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,56800000,2019-01-02 00:00:00,56800000,60
112,2019-01-02 15:40:00,20,100253,200864,안동간고등어 20팩,농수축,30900,70322000,2019-01-02 00:00:00,70322000,60
118,2019-01-02 16:40:00,20,100722,202112,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",농수축,30900,11181000,2019-01-02 00:00:00,11181000,60
117,2019-01-02 16:40:00,20,100722,202113,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",농수축,30900,18931000,2019-01-02 00:00:00,18931000,60
121,2019-01-02 17:40:00,20,100801,202365,바다먹자 국내산 손질꽃게 7팩,농수축,59900,49237000,2019-01-02 00:00:00,49237000,60
124,2019-01-02 18:40:00,20,100231,200819,키친플라워 대용량 디지털 에어프라이어 5L,주방,89800,44814000,2019-01-02 00:00:00,44814000,60
127,2019-01-02 19:40:00,20,100491,201483,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,농수축,59900,65853000,2019-01-02 00:00:00,65853000,60
134,2019-01-02 20:40:00,20,100610,201901,푸마 코튼 라이크라 드로즈 12종,속옷,89000,52885000,2019-01-02 00:00:00,52885000,60
135,2019-01-02 20:40:00,20,100610,201862,푸마 INNO 심리스 롱드로즈 7종,속옷,89000,3029000,2019-01-02 00:00:00,3029000,60
136,2019-01-02 20:40:00,20,100610,201880,푸마 드라이셀라인 뉴 런닝 9종,속옷,89000,4155000,2019-01-02 00:00:00,4155000,60
141,2019-01-02 21:40:00,20,100155,200554,일시불 LG전자 매직스페이스 냉장고,가전,1409000,21729000,2019-01-02 00:00:00,21729000,60
142,2019-01-02 21:40:00,20,100155,200487,무이자 LG전자 매직스페이스 냉장고,가전,1549000,23895000,2019-01-02 00:00:00,23895000,60
160,2019-01-02 22:40:00,20,100148,200451,무이자 LG 울트라HD TV 70UK7400KNA,가전,2990000,14523000,2019-01-02 00:00:00,14523000,60
159,2019-01-02 22:40:00,20,100148,200518,일시불 LG 울트라HD TV 70UK7400KNA,가전,2700000,50000,2019-01-02 00:00:00,50000,60
155,2019-01-02 22:40:00,20,100148,200499,일시불 LG 울트라HD TV 55UK6800HNC,가전,1300000,6305000,2019-01-02 00:00:00,6305000,60
156,2019-01-02 22:40:00,20,100148,200432,무이자 LG 울트라HD TV 55UK6800HNC,가전,1440000,6983000,2019-01-02 00:00:00,6983000,60
158,2019-01-02 22:40:00,20,100148,200441,무이자 LG 울트라HD TV 65UK6800HNC,가전,2130000,15468000,2019-01-02 00:00:00,15468000,60
157,2019-01-02 22:40:00,20,100148,200508,일시불 LG 울트라HD TV 65UK6800HNC,가전,1900000,36730000,2019-01-02 00:00:00,36730000,60
163,2019-01-02 23:40:00,20,100664,202004,크로커다일 풀커버 레이스 브라팬티 4세트,속옷,79900,31298000,2019-01-02 00:00:00,31298000,60
167,2019-01-03 00:20:00,20,100346,201079,테이트 여성 셀린니트3종,의류,39900,22520000,2019-01-03 00:00:00,22520000,40
166,2019-01-03 00:20:00,20,100346,201072,테이트 남성 셀린니트3종,의류,39900,10481000,2019-01-03 00:00:00,10481000,40
170,2019-01-03 01:40:00,20,100613,201894,푸마 웜셀 기모 치마레깅스 3종,속옷,59000,24910000,2019-01-03 00:00:00,24910000,60
175,2019-01-03 06:40:00,20,100781,202292,에펨 여성 미들퍼부츠,잡화,39800,9045000,2019-01-03 00:00:00,9045000,60
176,2019-01-03 06:40:00,20,100781,202285,에펨 남성 미들퍼부츠,잡화,49800,6162000,2019-01-03 00:00:00,6162000,60
179,2019-01-03 07:40:00,20,100582,201788,천연담아 명품다시팩 100포,농수축,39900,35153000,2019-01-03 00:00:00,35153000,60
182,2019-01-03 08:40:00,20,100774,202261,엘렌실라 달팽이크림(콜라겐5+팩트3),이미용,79000,36208000,2019-01-03 00:00:00,36208000,60
185,2019-01-03 09:40:00,20,100600,201840,로베르타 디 까메리노 노벨라백 2종,잡화,39000,36253000,2019-01-03 00:00:00,36253000,60
187,2019-01-03 10:30:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,70140000,2019-01-03 00:00:00,70140000,60
190,2019-01-03 11:40:00,20,100816,202404,보코 리버시블 무스탕,의류,79000,35613000,2019-01-03 00:00:00,35613000,60
193,2019-01-03 12:40:00,20,100315,201002,(직매입) 종근당건강 아이클리어 루테인,건강기능,69000,45269000,2019-01-03 00:00:00,45269000,60
196,2019-01-03 13:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,44782000,2019-01-03 00:00:00,44782000,60
199,2019-01-03 14:40:00,20,100255,200868,한일 대용량 스텐 분쇄믹서기,주방,109800,49139000,2019-01-03 00:00:00,49139000,60
210,2019-01-03 15:40:00,20,100837,202456,(도냄)무이자 쿠쿠전기밥솥 6인용,주방,208000,6693000,2019-01-03 00:00:00,6693000,60
211,2019-01-03 15:40:00,20,100837,202457,(도냄)일시불  쿠쿠전기밥솥 6인용,주방,198000,3576000,2019-01-03 00:00:00,3576000,60
209,2019-01-03 15:40:00,20,100837,202458,(도냄)일시불 쿠쿠전기밥솥 10인용,주방,208000,25184000,2019-01-03 00:00:00,25184000,60
208,2019-01-03 15:40:00,20,100837,202455,(도냄)무이자 쿠쿠전기밥솥 10인용,주방,218000,16324000,2019-01-03 00:00:00,16324000,60
214,2019-01-03 16:40:00,20,100832,202444,청정수산 완도활전복 35미,농수축,59900,59853000,2019-01-03 00:00:00,59853000,60
217,2019-01-03 17:40:00,20,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,27284000,2019-01-03 00:00:00,27284000,60
220,2019-01-03 18:40:00,20,100702,202074,영산포숙성 홍어8팩+무침3통,농수축,40900,67200000,2019-01-03 00:00:00,67200000,60
227,2019-01-03 19:40:00,20,100610,201860,푸마 INNO 심리스 드로즈 (6차),속옷,89000,40329000,2019-01-03 00:00:00,40329000,60
229,2019-01-03 19:40:00,20,100610,201865,푸마 NEW 트렁크 패키지,속옷,89000,4458000,2019-01-03 00:00:00,4458000,60
228,2019-01-03 19:40:00,20,100610,201861,푸마 INNO 심리스 롱드로즈 (1차),속옷,89000,4871000,2019-01-03 00:00:00,4871000,60
232,2019-01-03 20:40:00,20,100501,201514,노비타 스마트 비데,생활용품,189000,107418000,2019-01-03 00:00:00,107418000,60
248,2019-01-03 21:40:00,20,100148,200441,무이자 LG 울트라HD TV 65UK6800HNC,가전,2130000,25772000,2019-01-03 00:00:00,25772000,60
245,2019-01-03 21:40:00,20,100148,200499,일시불 LG 울트라HD TV 55UK6800HNC,가전,1300000,9480000,2019-01-03 00:00:00,9480000,60
249,2019-01-03 21:40:00,20,100148,200518,일시불 LG 울트라HD TV 70UK7400KNA,가전,2700000,6571000,2019-01-03 00:00:00,6571000,60
246,2019-01-03 21:40:00,20,100148,200432,무이자 LG 울트라HD TV 55UK6800HNC,가전,1440000,17456000,2019-01-03 00:00:00,17456000,60
247,2019-01-03 21:40:00,20,100148,200508,일시불 LG 울트라HD TV 65UK6800HNC,가전,1900000,36705000,2019-01-03 00:00:00,36705000,60
250,2019-01-03 21:40:00,20,100148,200451,무이자 LG 울트라HD TV 70UK7400KNA,가전,2990000,50000,2019-01-03 00:00:00,50000,60
253,2019-01-03 22:40:00,20,100718,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,89900,42666000,2019-01-03 00:00:00,42666000,60
259,2019-01-03 23:40:00,20,100377,201231,그렉노먼 여성 캐시터치 터틀넥 4종,의류,69900,12616000,2019-01-03 00:00:00,12616000,60
258,2019-01-03 23:40:00,20,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,의류,69900,18958000,2019-01-03 00:00:00,18958000,60
262,2019-01-04 00:40:00,20,100049,202044,마리노블 밍크 롱코트,의류,499000,26852000,2019-01-04 00:00:00,26852000,60
265,2019-01-04 01:40:00,20,100229,200800,벨라홈 논슬립 옷걸이 세트,생활용품,29800,20974000,2019-01-04 00:00:00,20974000,60
268,2019-01-04 06:40:00,20,100651,201972,제주농장 유기 양배추진액 120포,건강기능,74900,43680000,2019-01-04 00:00:00,43680000,60
269,2019-01-04 07:00:00,20,100226,201019,코이모 리빙박스 8종,생활용품,49800,10166000,2019-01-04 00:00:00,10166000,20
271,2019-01-04 07:40:00,20,100226,200789,코이모 리빙박스 8종,생활용품,49800,36453000,2019-01-04 00:00:00,36453000,40
274,2019-01-04 08:40:00,20,100717,202101,로베르타 디 까메리노 360커브드 지퍼 쉐이핑 란쥬,속옷,89900,34090000,2019-01-04 00:00:00,34090000,60
286,2019-01-04 09:40:00,20,100765,202237,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,208000,2742000,2019-01-04 00:00:00,2742000,60
285,2019-01-04 09:40:00,20,100765,202229,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,218000,8491000,2019-01-04 00:00:00,8491000,60
284,2019-01-04 09:40:00,20,100765,202238,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,228000,16967000,2019-01-04 00:00:00,16967000,60
283,2019-01-04 09:40:00,20,100765,202230,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,238000,23132000,2019-01-04 00:00:00,23132000,60
296,2019-01-04 10:40:00,20,100837,202458,(도냄)일시불 쿠쿠전기밥솥 10인용,주방,208000,29606000,2019-01-04 00:00:00,29606000,60
298,2019-01-04 10:40:00,20,100837,202457,(도냄)일시불  쿠쿠전기밥솥 6인용,주방,198000,7798000,2019-01-04 00:00:00,7798000,60
295,2019-01-04 10:40:00,20,100837,202455,(도냄)무이자 쿠쿠전기밥솥 10인용,주방,218000,34904000,2019-01-04 00:00:00,34904000,60
297,2019-01-04 10:40:00,20,100837,202456,(도냄)무이자 쿠쿠전기밥솥 6인용,주방,208000,8176000,2019-01-04 00:00:00,8176000,60
300,2019-01-04 11:30:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,56953000,2019-01-04 00:00:00,56953000,60
303,2019-01-04 12:40:00,20,100253,200864,안동간고등어 20팩,농수축,30900,50049000,2019-01-04 00:00:00,50049000,60
306,2019-01-04 13:40:00,20,100255,200868,한일 대용량 스텐 분쇄믹서기,주방,109800,42918000,2019-01-04 00:00:00,42918000,60
309,2019-01-04 14:40:00,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,37992000,2019-01-04 00:00:00,37992000,60
312,2019-01-04 15:40:00,20,100199,200670,소들녘 소 갈비탕,농수축,50900,61774000,2019-01-04 00:00:00,61774000,60
315,2019-01-04 16:40:00,20,100844,202491,하늘내린 용대리황태10미,농수축,32900,48311000,2019-01-04 00:00:00,48311000,60
318,2019-01-04 17:40:00,20,100231,200819,키친플라워 대용량 디지털 에어프라이어 5L,주방,89800,53381000,2019-01-04 00:00:00,53381000,60
321,2019-01-04 18:40:00,20,100491,201483,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,농수축,59900,66441000,2019-01-04 00:00:00,66441000,60
327,2019-01-04 19:40:00,20,100150,200465,무이자 LG 통돌이 세탁기,가전,489000,26996000,2019-01-04 00:00:00,26996000,60
326,2019-01-04 19:40:00,20,100150,200533,일시불 LG 통돌이 세탁기,가전,439000,45431000,2019-01-04 00:00:00,45431000,60
330,2019-01-04 20:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,79187000,2019-01-04 00:00:00,79187000,60
333,2019-01-04 21:40:00,20,100664,202004,크로커다일 풀커버 레이스 브라팬티 4세트,속옷,79900,48812000,2019-01-04 00:00:00,48812000,60
339,2019-01-04 22:40:00,20,100377,201231,그렉노먼 여성 캐시터치 터틀넥 4종,의류,69900,25232000,2019-01-04 00:00:00,25232000,60
338,2019-01-04 22:40:00,20,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,의류,69900,32311000,2019-01-04 00:00:00,32311000,60
341,2019-01-04 23:30:00,30,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,61787000,2019-01-04 00:00:00,61787000,60
344,2019-01-05 00:40:00,20,100212,200756,스포메틱스 리얼핏 모이스춰라이징 코코넛크림,이미용,49900,23462000,2019-01-05 00:00:00,23462000,60
349,2019-01-05 01:40:00,20,100293,200952,일시불[가이거] 제니스시계 주얼리세트,잡화,129000,20633000,2019-01-05 00:00:00,20633000,60
350,2019-01-05 01:40:00,20,100293,200949,무이자[가이거] 제니스시계 주얼리세트,잡화,139000,8495000,2019-01-05 00:00:00,8495000,60
353,2019-01-05 06:40:00,20,100267,200883,스칼프솔루션 트리트먼트 패키지,이미용,50900,18348000,2019-01-05 00:00:00,18348000,60
358,2019-01-05 07:40:00,20,100222,200773,아문센 남성 윈터 하드쉘 세트,의류,79000,15884000,2019-01-05 00:00:00,15884000,60
359,2019-01-05 07:40:00,20,100222,200774,아문센 여성 윈터 하드쉘 세트,의류,79000,7072000,2019-01-05 00:00:00,7072000,60
362,2019-01-05 08:40:00,20,100761,202216,마담팰리스 웜기모 롱베스트 3종세트,의류,39900,64124000,2019-01-05 00:00:00,64124000,60
364,2019-01-05 09:30:00,30,100305,200988,오모떼 프런트후크 데오브라 시즌2,속옷,59000,88503000,2019-01-05 00:00:00,88503000,60
367,2019-01-05 10:40:00,20,100816,202404,보코 리버시블 무스탕,의류,79000,35456000,2019-01-05 00:00:00,35456000,60
370,2019-01-05 11:40:00,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,79540000,2019-01-05 00:00:00,79540000,60
373,2019-01-05 12:40:00,20,100231,200819,키친플라워 대용량 디지털 에어프라이어 5L,주방,89800,77219000,2019-01-05 00:00:00,77219000,60
376,2019-01-05 13:40:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,69434000,2019-01-05 00:00:00,69434000,60
381,2019-01-05 14:40:00,20,100150,200533,일시불 LG 통돌이 세탁기,가전,439000,27022000,2019-01-05 00:00:00,27022000,60
382,2019-01-05 14:40:00,20,100150,200465,무이자 LG 통돌이 세탁기,가전,489000,43038000,2019-01-05 00:00:00,43038000,60
384,2019-01-05 15:30:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,61352000,2019-01-05 00:00:00,61352000,60
387,2019-01-05 16:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,69522000,2019-01-05 00:00:00,69522000,60
390,2019-01-05 17:40:00,20,100435,201350,우리바다 손질왕꼬막 24팩,농수축,39900,104552000,2019-01-05 00:00:00,104552000,60
392,2019-01-05 18:40:00,20,100801,202365,바다먹자 국내산 손질꽃게 7팩,농수축,59900,50176000,2019-01-05 00:00:00,50176000,40
403,2019-01-05 19:40:00,20,100448,202100,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,148000,18808000,2019-01-05 00:00:00,18808000,60
402,2019-01-05 19:40:00,20,100448,202093,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),주방,168000,29613000,2019-01-05 00:00:00,29613000,60
401,2019-01-05 19:40:00,20,100448,202098,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),주방,158000,52106000,2019-01-05 00:00:00,52106000,60
404,2019-01-05 19:40:00,20,100448,202095,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,158000,8382000,2019-01-05 00:00:00,8382000,60
412,2019-01-05 20:40:00,20,100610,201861,푸마 INNO 심리스 롱드로즈 (1차),속옷,89000,4787000,2019-01-05 00:00:00,4787000,60
413,2019-01-05 20:40:00,20,100610,201865,푸마 NEW 트렁크 패키지,속옷,89000,4486000,2019-01-05 00:00:00,4486000,60
411,2019-01-05 20:40:00,20,100610,201860,푸마 INNO 심리스 드로즈 (6차),속옷,89000,38690000,2019-01-05 00:00:00,38690000,60
427,2019-01-05 21:40:00,20,100148,200432,무이자 LG 울트라HD TV 55UK6800HNC,가전,1440000,20923000,2019-01-05 00:00:00,20923000,60
426,2019-01-05 21:40:00,20,100148,200499,일시불 LG 울트라HD TV 55UK6800HNC,가전,1300000,21941000,2019-01-05 00:00:00,21941000,60
428,2019-01-05 21:40:00,20,100148,200508,일시불 LG 울트라HD TV 65UK6800HNC,가전,1900000,45869000,2019-01-05 00:00:00,45869000,60
431,2019-01-05 21:40:00,20,100148,200451,무이자 LG 울트라HD TV 70UK7400KNA,가전,2990000,14523000,2019-01-05 00:00:00,14523000,60
429,2019-01-05 21:40:00,20,100148,200441,무이자 LG 울트라HD TV 65UK6800HNC,가전,2130000,46402000,2019-01-05 00:00:00,46402000,60
430,2019-01-05 21:40:00,20,100148,200518,일시불 LG 울트라HD TV 70UK7400KNA,가전,2700000,13093000,2019-01-05 00:00:00,13093000,60
434,2019-01-05 22:40:00,20,100607,201892,푸마 에어핏 서포트 브라세트 15종+4종,속옷,119000,85094000,2019-01-05 00:00:00,85094000,60
440,2019-01-05 23:40:00,20,100251,200855,K-SWISS 여성기모티셔츠 5종,의류,69000,8373000,2019-01-05 00:00:00,8373000,60
439,2019-01-05 23:40:00,20,100251,200842,K-SWISS 남성기모티셔츠 5종,의류,69000,20692000,2019-01-05 00:00:00,20692000,60
446,2019-01-06 01:40:00,20,100430,201343,(a4)팽현숙의 순대 곱창 전골&볶음,농수축,43900,16233000,2019-01-06 00:00:00,16233000,60
449,2019-01-06 06:40:00,20,100655,201981,종근당건강 전립쎈 프라임,건강기능,89000,19508000,2019-01-06 00:00:00,19508000,60
452,2019-01-06 07:40:00,20,100266,200881,마리끌레르 파리컬렉션 리얼 하이드로 립스틱(리뉴얼),이미용,39900,32977000,2019-01-06 00:00:00,32977000,60
455,2019-01-06 08:40:00,20,100718,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,89900,69617000,2019-01-06 00:00:00,69617000,60
458,2019-01-06 09:40:00,20,100816,202404,보코 리버시블 무스탕,의류,79000,28257000,2019-01-06 00:00:00,28257000,60
461,2019-01-06 10:40:00,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,65610000,2019-01-06 00:00:00,65610000,60
463,2019-01-06 11:30:00,30,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,74315000,2019-01-06 00:00:00,74315000,60
472,2019-01-06 12:40:00,20,100448,202098,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),주방,158000,39953000,2019-01-06 00:00:00,39953000,60
473,2019-01-06 12:40:00,20,100448,202093,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),주방,168000,20640000,2019-01-06 00:00:00,20640000,60
474,2019-01-06 12:40:00,20,100448,202100,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,148000,15576000,2019-01-06 00:00:00,15576000,60
475,2019-01-06 12:40:00,20,100448,202095,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,158000,6755000,2019-01-06 00:00:00,6755000,60
478,2019-01-06 13:40:00,20,100342,201059,아리스토우 남성기모티셔츠5종,의류,39900,62565000,2019-01-06 00:00:00,62565000,60
481,2019-01-06 14:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,70925000,2019-01-06 00:00:00,70925000,120
483,2019-01-06 15:30:00,30,100305,200988,오모떼 프런트후크 데오브라 시즌2,속옷,59000,93153000,2019-01-06 00:00:00,93153000,60
486,2019-01-06 16:40:00,20,100199,200670,소들녘 소 갈비탕,농수축,50900,87413000,2019-01-06 00:00:00,87413000,60
489,2019-01-06 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,82757000,2019-01-06 00:00:00,82757000,60
496,2019-01-06 18:40:00,20,100610,201860,푸마 INNO 심리스 드로즈 (6차),속옷,89000,35502000,2019-01-06 00:00:00,35502000,60
497,2019-01-06 18:40:00,20,100610,201861,푸마 INNO 심리스 롱드로즈 (1차),속옷,89000,7791000,2019-01-06 00:00:00,7791000,60
498,2019-01-06 18:40:00,20,100610,201865,푸마 NEW 트렁크 패키지,속옷,89000,4528000,2019-01-06 00:00:00,4528000,60
501,2019-01-06 19:40:00,20,100501,201514,노비타 스마트 비데,생활용품,189000,112361000,2019-01-06 00:00:00,112361000,60
512,2019-01-06 20:40:00,20,100837,202456,(도냄)무이자 쿠쿠전기밥솥 6인용,주방,208000,10401000,2019-01-06 00:00:00,10401000,60
513,2019-01-06 20:40:00,20,100837,202457,(도냄)일시불  쿠쿠전기밥솥 6인용,주방,198000,5687000,2019-01-06 00:00:00,5687000,60
511,2019-01-06 20:40:00,20,100837,202458,(도냄)일시불 쿠쿠전기밥솥 10인용,주방,208000,31827000,2019-01-06 00:00:00,31827000,60
510,2019-01-06 20:40:00,20,100837,202455,(도냄)무이자 쿠쿠전기밥솥 10인용,주방,218000,36463000,2019-01-06 00:00:00,36463000,60
519,2019-01-06 21:40:00,20,100150,200465,무이자 LG 통돌이 세탁기,가전,489000,33386000,2019-01-06 00:00:00,33386000,60
518,2019-01-06 21:40:00,20,100150,200533,일시불 LG 통돌이 세탁기,가전,439000,29854000,2019-01-06 00:00:00,29854000,60
522,2019-01-06 22:40:00,20,100664,202004,크로커다일 풀커버 레이스 브라팬티 4세트,속옷,79900,37904000,2019-01-06 00:00:00,37904000,60
525,2019-01-06 23:40:00,20,100049,202044,마리노블 밍크 롱코트,의류,499000,63029000,2019-01-06 00:00:00,63029000,60
527,2019-01-07 00:30:00,30,100433,201346,스위스밀리터리 전동공구세트,생활용품,138000,57904000,2019-01-07 00:00:00,57904000,60
532,2019-01-07 01:40:00,20,100221,200771,도네이 남성 터틀넥 스웨터 4종,의류,49000,5905000,2019-01-07 00:00:00,5905000,60
