,방송일시,노출(분),마더코드,상품코드,상품명,상품군,판매단가,취급액,날짜,이익,누적노출
33,2019-01-01 16:20:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,115457000,2019-01-01 00:00:00,54670000,40
489,2019-01-06 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,82757000,2019-01-06 00:00:00,-2693000,60
688,2019-01-08 20:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,100341000,2019-01-08 00:00:00,21714000,60
868,2019-01-10 21:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,88341000,2019-01-10 00:00:00,29497000,60
1262,2019-01-14 21:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,116925000,2019-01-14 00:00:00,27293000,60
1826,2019-01-20 16:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,100892000,2019-01-20 00:00:00,12863000,60
2255,2019-01-24 22:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,87201000,2019-01-24 00:00:00,40056000,60
2480,2019-01-27 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,95792000,2019-01-27 00:00:00,29943000,60
2587,2019-01-28 21:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,103777000,2019-01-28 00:00:00,25263000,60
3020,2019-02-02 16:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,62350000,2019-02-02 00:00:00,7280000,60
3422,2019-02-06 16:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,75152000,2019-02-06 00:00:00,23046000,60
3659,2019-02-08 18:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,61317000,2019-02-08 00:00:00,10774000,60
4040,2019-02-12 20:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,71281000,2019-02-12 00:00:00,6526000,60
4451,2019-02-16 16:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,87656000,2019-02-16 00:00:00,17804000,60
4766,2019-02-19 16:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,67513000,2019-02-19 00:00:00,12228000,60
5173,2019-02-23 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,82576000,2019-02-23 00:00:00,29100000,60
5468,2019-02-26 20:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,73267000,2019-02-26 00:00:00,20066000,60
5876,2019-03-02 19:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,76611000,2019-03-02 00:00:00,19041000,60
5994,2019-03-03 16:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,86171000,2019-03-03 00:00:00,27488000,60
7163,2019-03-14 15:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,55780000,2019-03-14 00:00:00,8241000,60
7374,2019-03-16 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,66892000,2019-03-16 00:00:00,3536000,60
7515,2019-03-18 01:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,25435000,2019-03-18 00:00:00,5603000,40
7661,2019-03-19 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,63959000,2019-03-19 00:00:00,18421000,60
10261,2019-04-11 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,66297000,2019-04-11 00:00:00,2915000,60
10614,2019-04-14 15:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,87540000,2019-04-14 00:00:00,2928000,60
11095,2019-04-18 16:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,59624000,2019-04-18 00:00:00,19127000,60
11796,2019-04-24 16:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,68420000,2019-04-24 00:00:00,21769000,60
12138,2019-04-27 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,91421000,2019-04-27 00:00:00,27226000,60
12341,2019-04-29 18:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,75238000,2019-04-29 00:00:00,7701000,60
13804,2019-05-11 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,100885000,2019-05-11 00:00:00,31503000,60
14568,2019-05-17 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,71112000,2019-05-17 00:00:00,11512000,60
14900,2019-05-20 18:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,60760000,2019-05-20 00:00:00,17418000,60
15246,2019-05-23 18:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,66848000,2019-05-23 00:00:00,-462000,60
15470,2019-05-25 19:00:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,80596000,2019-05-25 00:00:00,11265000,60
15694,2019-05-27 18:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,75448000,2019-05-27 00:00:00,10819000,60
15973,2019-05-30 18:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,52946000,2019-05-30 00:00:00,-2798000,60
16280,2019-06-02 16:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,109387000,2019-06-02 00:00:00,29468000,60
16500,2019-06-04 16:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,71434000,2019-06-04 00:00:00,10866000,60
16732,2019-06-06 18:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,100534000,2019-06-06 00:00:00,22034000,60
16941,2019-06-08 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,106271000,2019-06-08 00:00:00,33027000,60
17237,2019-06-11 16:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,65391000,2019-06-11 00:00:00,17526000,60
17451,2019-06-13 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,59940000,2019-06-13 00:00:00,3845000,60
17702,2019-06-15 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,97258000,2019-06-15 00:00:00,24316000,60
18470,2019-06-23 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,86686000,2019-06-23 00:00:00,17380000,60
18664,2019-06-25 21:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,59355000,2019-06-25 00:00:00,11159000,60
18835,2019-06-27 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,74229000,2019-06-27 00:00:00,14265000,60
19029,2019-06-29 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,89678000,2019-06-29 00:00:00,26244000,60
19352,2019-07-02 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,66880000,2019-07-02 00:00:00,26302000,60
19793,2019-07-06 21:00:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,65488000,2019-07-06 00:00:00,17986000,60
20195,2019-07-10 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,68783000,2019-07-10 00:00:00,9159000,60
20647,2019-07-14 16:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,64924000,2019-07-14 00:00:00,16004000,60
20892,2019-07-16 17:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,53952000,2019-07-16 00:00:00,4147000,60
21138,2019-07-18 18:40:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,46461000,2019-07-18 00:00:00,6838000,60
21385,2019-07-20 21:00:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,49900,67599000,2019-07-20 00:00:00,16193000,60
34,2019-01-01 16:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,83893000,2019-01-01 00:00:00,83893000,20
387,2019-01-05 16:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,69522000,2019-01-05 00:00:00,4440000,60
580,2019-01-07 15:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,52116000,2019-01-07 00:00:00,1123000,60
655,2019-01-08 14:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,41662000,2019-01-08 00:00:00,-12925000,60
774,2019-01-09 17:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,45812000,2019-01-09 00:00:00,-8084000,60
832,2019-01-10 12:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,44029000,2019-01-10 00:00:00,8599000,60
935,2019-01-11 14:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,40488000,2019-01-11 00:00:00,10426000,60
1227,2019-01-14 12:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,54743000,2019-01-14 00:00:00,14018000,60
1330,2019-01-15 15:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,57185000,2019-01-15 00:00:00,22425000,60
1435,2019-01-16 13:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,45615000,2019-01-16 00:00:00,-579000,60
1687,2019-01-19 13:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,53671000,2019-01-19 00:00:00,-2357000,60
1907,2019-01-21 12:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,47965000,2019-01-21 00:00:00,1307000,60
2121,2019-01-23 14:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,44021000,2019-01-23 00:00:00,5367000,60
2557,2019-01-28 12:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,56309000,2019-01-28 00:00:00,12885000,60
3218,2019-02-04 15:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,36435000,2019-02-04 00:00:00,10107000,60
3623,2019-02-08 12:40:00,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,55347000,2019-02-08 00:00:00,21521000,60
37,2019-01-01 17:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,107103000,2019-01-01 00:00:00,33609000,60
196,2019-01-03 13:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,44782000,2019-01-03 00:00:00,3113000,60
330,2019-01-04 20:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,79187000,2019-01-04 00:00:00,30349000,60
481,2019-01-06 14:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,70925000,2019-01-06 00:00:00,16255000,120
545,2019-01-07 09:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,44086000,2019-01-07 00:00:00,19991000,60
797,2019-01-10 00:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,45256000,2019-01-10 00:00:00,-1190000,60
1022,2019-01-12 13:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,60428000,2019-01-12 00:00:00,88000,60
1149,2019-01-13 17:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,63223000,2019-01-13 00:00:00,11918000,120
1399,2019-01-16 07:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,27609000,2019-01-16 00:00:00,2599000,120
1543,2019-01-17 20:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,86954000,2019-01-17 00:00:00,34623000,60
1823,2019-01-20 15:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,99499000,2019-01-20 00:00:00,34892000,60
2082,2019-01-22 23:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,45888000,2019-01-22 00:00:00,23417000,60
2136,2019-01-23 19:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,68343000,2019-01-23 00:00:00,25693000,60
2383,2019-01-26 12:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,74878000,2019-01-26 00:00:00,16746000,60
2462,2019-01-27 14:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,60999000,2019-01-27 00:00:00,8096000,60
2654,2019-01-29 19:40:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,58492000,2019-01-29 00:00:00,19137000,60
