CARD_SIDO_NM,STD_CLSS_NM,AMT,affected
경기,차량용 가스 충전업,3072431260,0
경기,차량용 주유소 운영업,114977023144,1
경기,체인화 편의점,94271865393,0
경기,택시 운송업,121411640,1
경기,피자 햄버거 샌드위치 및 유사 음식점업,16285816574,1
경기,한식 음식점업,176620766398,1
경기,호텔업,42998154,1
경기,화장품 및 방향제 소매업,4229697273,1
경기,휴양콘도 운영업,40504290,1
경남,건강보조식품 소매업,310317998,0
경남,골프장 운영업,4138688459,0
경남,과실 및 채소 소매업,3006580259,0
경남,관광 민예품 및 선물용품 소매업,77261600,1
경남,그외 기타 분류안된 오락관련 서비스업,482700,0
경남,그외 기타 스포츠시설 운영업,623000,1
경남,그외 기타 종합 소매업,1121783980,0
경남,기타 대형 종합 소매업,18482965833,1
경남,기타 수상오락 서비스업,471500,1
경남,기타 외국식 음식점업,1244326658,1
경남,기타 주점업,529898998,1
경남,기타음식료품위주종합소매업,12665969178,1
경남,내항 여객 운송업,23096100,0
경남,마사지업,24067000,1
경남,버스 운송업,273300,1
경남,비알콜 음료점업,2539300857,1
경남,빵 및 과자류 소매업,3540351336,1
경남,서양식 음식점업,3485278484,1
경남,수산물 소매업,888405720,0
경남,슈퍼마켓,29032410725,1
경남,스포츠 및 레크레이션 용품 임대업,3112371595,1
경남,여관업,733266283,1
경남,여행사업,36000,0
경남,욕탕업,789447037,1
경남,육류 소매업,5506280536,1
경남,일반유흥 주점업,3481971341,1
경남,일식 음식점업,1819327172,1
경남,전시 및 행사 대행업,32890950,1
경남,중식 음식점업,2366173508,1
경남,차량용 가스 충전업,1188167815,0
경남,차량용 주유소 운영업,39587582972,1
경남,체인화 편의점,19625737565,0
경남,택시 운송업,9092710,1
경남,피자 햄버거 샌드위치 및 유사 음식점업,3980305098,0
경남,한식 음식점업,43785197942,1
경남,호텔업,11071099,1
경남,화장품 및 방향제 소매업,1246009621,1
경남,휴양콘도 운영업,57685960,1
경북,건강보조식품 소매업,162665465,0
경북,골프장 운영업,3887446560,0
경북,과실 및 채소 소매업,1920118953,0
경북,관광 민예품 및 선물용품 소매업,38159020,1
경북,그외 기타 스포츠시설 운영업,457500,1
경북,그외 기타 종합 소매업,556527100,0
경북,기타 대형 종합 소매업,11819575635,1
경북,기타 수상오락 서비스업,135000,1
경북,기타 외국식 음식점업,589895721,1
경북,기타 주점업,181997610,1
경북,기타음식료품위주종합소매업,9069490514,1
경북,마사지업,3985000,1
경북,비알콜 음료점업,1291808551,1
경북,빵 및 과자류 소매업,2088171221,0
경북,서양식 음식점업,1588582420,1
경북,수산물 소매업,1022709023,0
경북,슈퍼마켓,27027103433,1
경북,스포츠 및 레크레이션 용품 임대업,2693266181,1
경북,여관업,236323066,1
경북,여행사업,171000,0
경북,욕탕업,199825280,1
경북,육류 소매업,5686448655,1
경북,일반유흥 주점업,689230372,1
경북,일식 음식점업,558752926,1
경북,자동차 임대업,778000,1
경북,전시 및 행사 대행업,15551540,1
경북,중식 음식점업,1249869197,1
경북,차량용 가스 충전업,1316851304,1
경북,차량용 주유소 운영업,39853844388,1
경북,체인화 편의점,12144541873,0
경북,택시 운송업,404300,1
경북,피자 햄버거 샌드위치 및 유사 음식점업,2185542090,1
경북,한식 음식점업,21321209988,1
경북,호텔업,32189695,1
경북,화장품 및 방향제 소매업,704611893,1
경북,휴양콘도 운영업,6826420,1
광주,건강보조식품 소매업,264886267,0
광주,골프장 운영업,200903800,0
광주,과실 및 채소 소매업,2047228744,1
광주,관광 민예품 및 선물용품 소매업,15383700,1
광주,그외 기타 스포츠시설 운영업,3855500,1
광주,그외 기타 종합 소매업,1610985070,0
광주,기타 대형 종합 소매업,7966792270,1
광주,기타 외국식 음식점업,714272588,1
광주,기타 주점업,350229000,1
광주,기타음식료품위주종합소매업,979289183,1
광주,마사지업,59750077,1
광주,버스 운송업,6269000,1
광주,비알콜 음료점업,2016094083,1
광주,빵 및 과자류 소매업,2274535220,1
광주,서양식 음식점업,2802133536,1
광주,수산물 소매업,1011822205,0
광주,슈퍼마켓,23994695299,1
광주,스포츠 및 레크레이션 용품 임대업,2858594774,1
광주,여관업,392444216,1
광주,욕탕업,283752490,0
광주,육류 소매업,3370364439,1
광주,일반유흥 주점업,816139390,1
광주,일식 음식점업,713470200,1
광주,자동차 임대업,534000,0
광주,전시 및 행사 대행업,5998300,1
광주,중식 음식점업,1691052145,0
광주,차량용 가스 충전업,854881594,0
광주,차량용 주유소 운영업,15015224953,0
광주,체인화 편의점,8670577125,0
광주,피자 햄버거 샌드위치 및 유사 음식점업,1931718994,1
광주,한식 음식점업,24383782847,1
광주,호텔업,23034412,1
광주,화장품 및 방향제 소매업,929206625,1
대구,건강보조식품 소매업,232458341,0
대구,골프장 운영업,124715010,1
대구,과실 및 채소 소매업,3247185311,1
대구,관광 민예품 및 선물용품 소매업,7100600,1
대구,그외 기타 스포츠시설 운영업,690000,1
대구,그외 기타 종합 소매업,1429581910,0
대구,기타 대형 종합 소매업,18577150550,1
대구,기타 수상오락 서비스업,72000,1
대구,기타 외국식 음식점업,636417220,1
대구,기타 주점업,114456630,1
대구,기타음식료품위주종합소매업,2261713692,0
대구,마사지업,2194000,1
대구,비알콜 음료점업,2204509848,1
대구,빵 및 과자류 소매업,3050703265,1
대구,서양식 음식점업,2738244159,1
대구,수산물 소매업,1338382585,0
대구,슈퍼마켓,37564936246,1
대구,스포츠 및 레크레이션 용품 임대업,2097655081,1
대구,여관업,329178400,1
대구,욕탕업,103817500,1
대구,육류 소매업,7851542912,1
대구,일반유흥 주점업,282941576,1
대구,일식 음식점업,937312650,1
대구,자동차 임대업,185000,1
대구,전시 및 행사 대행업,26491050,1
대구,중식 음식점업,1764780053,1
대구,차량용 가스 충전업,987128583,1
대구,차량용 주유소 운영업,20375025466,1
대구,체인화 편의점,13141961651,1
대구,택시 운송업,2734898258,1
대구,피자 햄버거 샌드위치 및 유사 음식점업,3192084059,1
대구,한식 음식점업,23263366133,1
대구,호텔업,15912800,1
대구,화장품 및 방향제 소매업,1014803293,1
대전,건강보조식품 소매업,118641396,0
대전,골프장 운영업,229080825,0
대전,과실 및 채소 소매업,1099016730,1
대전,관광 민예품 및 선물용품 소매업,8146050,1
대전,그외 기타 스포츠시설 운영업,222000,1
대전,그외 기타 종합 소매업,1296548085,0
대전,기타 대형 종합 소매업,7712168380,1
대전,기타 수상오락 서비스업,94000,1
대전,기타 외국식 음식점업,833528150,1
대전,기타 주점업,79211000,1
대전,기타음식료품위주종합소매업,1572891591,1
대전,마사지업,9111800,1
대전,비알콜 음료점업,1053847763,1
대전,빵 및 과자류 소매업,1658101870,1
대전,서양식 음식점업,2021197842,1
대전,수산물 소매업,863093528,0
대전,슈퍼마켓,9983121759,1
대전,스포츠 및 레크레이션 용품 임대업,826008364,1
대전,여관업,224619715,1
대전,욕탕업,130539400,1
대전,육류 소매업,2242235766,1
대전,일반유흥 주점업,61794450,1
대전,일식 음식점업,619064273,1
대전,자동차 임대업,1276500,0
대전,전시 및 행사 대행업,3995350,1
대전,중식 음식점업,1226314292,1
대전,차량용 가스 충전업,456848799,0
대전,차량용 주유소 운영업,8610779351,1
대전,체인화 편의점,6550797691,0
대전,피자 햄버거 샌드위치 및 유사 음식점업,1355709532,1
대전,한식 음식점업,14397817028,1
대전,호텔업,49190545,1
대전,화장품 및 방향제 소매업,432027898,1
부산,건강보조식품 소매업,440314350,0
부산,골프장 운영업,1291404360,0
부산,과실 및 채소 소매업,3190271968,1
부산,관광 민예품 및 선물용품 소매업,32117820,1
부산,그외 기타 스포츠시설 운영업,569500,1
부산,그외 기타 종합 소매업,1679813150,0
부산,기타 대형 종합 소매업,59335408645,1
부산,기타 수상오락 서비스업,453900,1
부산,기타 외국식 음식점업,1344973179,1
부산,기타 주점업,1111571819,1
부산,기타음식료품위주종합소매업,1348887694,1
부산,마사지업,23545500,1
부산,면세점,17943950,1
부산,버스 운송업,291000,1
부산,비알콜 음료점업,3408112220,1
부산,빵 및 과자류 소매업,3959725656,1
부산,서양식 음식점업,5612849639,1
부산,수산물 소매업,731274913,0
부산,슈퍼마켓,28988003911,1
부산,스포츠 및 레크레이션 용품 임대업,3604042049,1
부산,여관업,899786525,1
부산,여행사업,7514000,1
부산,욕탕업,808570383,1
부산,육류 소매업,5665076218,1
부산,일반유흥 주점업,2754129505,1
부산,일식 음식점업,2244266593,1
부산,자동차 임대업,773000,1
부산,전시 및 행사 대행업,45235110,1
부산,정기 항공 운송업,535483890,1
부산,중식 음식점업,2650973825,1
부산,차량용 가스 충전업,725962194,1
부산,차량용 주유소 운영업,25910471865,1
부산,체인화 편의점,21389444752,1
부산,택시 운송업,2625768744,1
부산,피자 햄버거 샌드위치 및 유사 음식점업,4706300617,1
부산,한식 음식점업,45353022124,1
부산,호텔업,417167297,1
부산,화장품 및 방향제 소매업,1921419600,1
부산,휴양콘도 운영업,121957200,1
서울,건강보조식품 소매업,1178972099,0
서울,골프장 운영업,364764050,0
서울,과실 및 채소 소매업,8005379734,1
서울,관광 민예품 및 선물용품 소매업,53586140,1
서울,그외 기타 스포츠시설 운영업,15888500,1
서울,그외 기타 종합 소매업,40433017255,0
서울,기타 대형 종합 소매업,85944403598,1
서울,기타 수상오락 서비스업,3946900,1
서울,기타 외국식 음식점업,7348439049,1
서울,기타 주점업,1463780040,1
서울,기타음식료품위주종합소매업,25422139867,0
서울,내항 여객 운송업,1103089720,1
서울,마사지업,144174546,1
서울,면세점,35502010,1
서울,버스 운송업,2798198940,1
서울,비알콜 음료점업,26081176709,1
서울,빵 및 과자류 소매업,14350083255,0
서울,서양식 음식점업,33691383982,1
서울,수산물 소매업,3342043120,0
서울,슈퍼마켓,95523095194,1
서울,스포츠 및 레크레이션 용품 임대업,13713309096,1
서울,여관업,2293624372,1
서울,여행사업,313930866,1
서울,욕탕업,1368908045,1
서울,육류 소매업,16014475439,1
서울,일반유흥 주점업,2897164720,1
서울,일식 음식점업,14155708402,1
서울,자동차 임대업,144784043,1
서울,전시 및 행사 대행업,164414858,1
서울,정기 항공 운송업,2284378045,1
서울,중식 음식점업,13327780001,1
서울,차량용 가스 충전업,738081061,1
서울,차량용 주유소 운영업,30213190867,1
서울,체인화 편의점,81303456270,1
서울,택시 운송업,78532125499,1
서울,피자 햄버거 샌드위치 및 유사 음식점업,18715095314,1
서울,한식 음식점업,147494192925,1
서울,호텔업,3287206791,1
서울,화장품 및 방향제 소매업,15531843111,1
세종,건강보조식품 소매업,9943350,0
세종,골프장 운영업,189063330,0
세종,과실 및 채소 소매업,407847029,0
세종,그외 기타 종합 소매업,4839290,1
세종,기타 대형 종합 소매업,1683372950,0
세종,기타 외국식 음식점업,104153042,1
세종,기타 주점업,2925000,1
세종,기타음식료품위주종합소매업,753677203,1
세종,마사지업,1371000,1
세종,비알콜 음료점업,204012833,1
세종,빵 및 과자류 소매업,300565508,0
세종,서양식 음식점업,327977480,1
세종,수산물 소매업,46397052,0
세종,슈퍼마켓,1627816877,1
세종,스포츠 및 레크레이션 용품 임대업,140274610,0
세종,여관업,3110000,1
세종,욕탕업,19025100,1
세종,육류 소매업,382817522,1
세종,일반유흥 주점업,12071000,1
세종,일식 음식점업,80777200,1
세종,전시 및 행사 대행업,165000,1
세종,중식 음식점업,265740650,1
세종,차량용 가스 충전업,36974064,1
세종,차량용 주유소 운영업,2225235023,0
세종,체인화 편의점,1214865994,0
세종,피자 햄버거 샌드위치 및 유사 음식점업,287007375,0
세종,한식 음식점업,2091144401,1
세종,화장품 및 방향제 소매업,48905505,1
울산,건강보조식품 소매업,90647941,0
울산,골프장 운영업,512781100,0
울산,과실 및 채소 소매업,811459199,0
울산,관광 민예품 및 선물용품 소매업,2382500,1
울산,그외 기타 스포츠시설 운영업,219000,1
울산,그외 기타 종합 소매업,2402422650,1
울산,기타 대형 종합 소매업,6710403292,1
울산,기타 외국식 음식점업,426033907,1
울산,기타 주점업,226986158,1
울산,기타음식료품위주종합소매업,1657264340,1
울산,마사지업,27534000,1
울산,버스 운송업,547200,1
울산,비알콜 음료점업,925538115,1
울산,빵 및 과자류 소매업,1205972787,0
울산,서양식 음식점업,1328989866,1
울산,수산물 소매업,234311267,1
울산,슈퍼마켓,11730084732,1
울산,스포츠 및 레크레이션 용품 임대업,1025880597,1
울산,여관업,250895154,1
울산,여행사업,73500,0
울산,욕탕업,275241708,1
울산,육류 소매업,3371907188,1
울산,일반유흥 주점업,907244303,1
울산,일식 음식점업,423529921,1
울산,자동차 임대업,217000,1
울산,전시 및 행사 대행업,504700,1
울산,중식 음식점업,828847705,1
울산,차량용 가스 충전업,281703118,1
울산,차량용 주유소 운영업,12070874634,1
울산,체인화 편의점,6735203759,0
울산,피자 햄버거 샌드위치 및 유사 음식점업,1453012931,1
울산,한식 음식점업,14259947274,1
울산,호텔업,90036164,1
울산,화장품 및 방향제 소매업,391557277,1
인천,건강보조식품 소매업,357351699,0
인천,골프장 운영업,1647333440,0
인천,과실 및 채소 소매업,2713749959,0
인천,관광 민예품 및 선물용품 소매업,7604150,1
인천,그외 기타 스포츠시설 운영업,3241500,1
인천,그외 기타 종합 소매업,105066540,1
인천,기타 대형 종합 소매업,21690604730,1
인천,기타 수상오락 서비스업,10874500,0
인천,기타 외국식 음식점업,2178945666,1
인천,기타 주점업,487515500,1
인천,기타음식료품위주종합소매업,1484310057,1
인천,내항 여객 운송업,115088500,1
인천,마사지업,68066100,1
인천,면세점,1289517252,1
인천,비알콜 음료점업,2644224780,1
인천,빵 및 과자류 소매업,2883419150,0
인천,서양식 음식점업,3316998277,1
인천,수산물 소매업,1330291528,0
인천,슈퍼마켓,29514381510,1
인천,스포츠 및 레크레이션 용품 임대업,3477557666,1
인천,여관업,834331096,1
인천,여행사업,1580000,0
인천,욕탕업,339812578,1
인천,육류 소매업,4230586445,0
인천,일반유흥 주점업,1152246890,1
인천,일식 음식점업,1855456482,1
인천,자동차 임대업,536100,0
인천,전시 및 행사 대행업,151266920,0
인천,정기 항공 운송업,59766136,1
인천,중식 음식점업,2483537317,1
인천,차량용 가스 충전업,572423887,0
인천,차량용 주유소 운영업,21368366358,1
인천,체인화 편의점,18818034461,0
인천,택시 운송업,109424517,1
인천,피자 햄버거 샌드위치 및 유사 음식점업,3172954373,1
인천,한식 음식점업,35344916665,1
인천,호텔업,205739680,1
인천,화장품 및 방향제 소매업,888003445,1
전남,건강보조식품 소매업,151901178,0
전남,골프장 운영업,3041794880,0
전남,과실 및 채소 소매업,2347152121,0
전남,관광 민예품 및 선물용품 소매업,10475600,0
전남,그외 기타 스포츠시설 운영업,2158000,1
전남,그외 기타 종합 소매업,3144758290,1
전남,기타 대형 종합 소매업,7711357460,1
전남,기타 외국식 음식점업,579768546,1
전남,기타 주점업,610765400,1
전남,기타음식료품위주종합소매업,9953228104,1
전남,내항 여객 운송업,15768100,0
전남,마사지업,72118000,1
전남,버스 운송업,3602300,0
전남,비알콜 음료점업,1350946618,0
전남,빵 및 과자류 소매업,1552959442,1
전남,서양식 음식점업,2019378560,1
전남,수산물 소매업,901993644,0
전남,슈퍼마켓,14006196546,1
전남,스포츠 및 레크레이션 용품 임대업,2337036353,1
전남,여관업,446167236,1
전남,여행사업,3565500,0
전남,욕탕업,207778400,0
전남,육류 소매업,2612220841,0
전남,일반유흥 주점업,1591747050,1
전남,일식 음식점업,901200128,1
전남,자동차 임대업,4441400,0
전남,전시 및 행사 대행업,121020570,1
전남,중식 음식점업,1320074035,0
전남,차량용 가스 충전업,898588025,0
전남,차량용 주유소 운영업,24774158737,0
전남,체인화 편의점,7516396881,0
전남,피자 햄버거 샌드위치 및 유사 음식점업,1437158886,0
전남,한식 음식점업,24169923841,1
전남,호텔업,12501300,1
전남,화장품 및 방향제 소매업,563216452,1
전남,휴양콘도 운영업,190761549,0
전북,건강보조식품 소매업,195074428,0
전북,골프장 운영업,1511859020,0
전북,과실 및 채소 소매업,1762633648,0
전북,관광 민예품 및 선물용품 소매업,13474400,1
전북,그외 기타 스포츠시설 운영업,3411400,1
전북,그외 기타 종합 소매업,863711110,0
전북,기타 대형 종합 소매업,10173782050,1
전북,기타 외국식 음식점업,1310116513,1
전북,기타 주점업,270675800,1
전북,기타음식료품위주종합소매업,4722823438,1
전북,마사지업,36529200,0
전북,버스 운송업,60300,0
전북,비알콜 음료점업,1716607051,1
전북,빵 및 과자류 소매업,1877797681,0
전북,서양식 음식점업,2598587949,1
전북,수산물 소매업,1319155710,0
전북,슈퍼마켓,18815863862,1
전북,스포츠 및 레크레이션 용품 임대업,3342603921,1
전북,여관업,343581415,1
전북,여행사업,162900,1
전북,욕탕업,294702524,1
전북,육류 소매업,3169702732,0
전북,일반유흥 주점업,681634400,1
전북,일식 음식점업,1113067130,0
전북,자동차 임대업,1261000,1
전북,전시 및 행사 대행업,29210550,0
전북,정기 항공 운송업,235642054,1
전북,중식 음식점업,2005793918,0
전북,차량용 가스 충전업,1166629862,0
전북,차량용 주유소 운영업,25590390111,1
전북,체인화 편의점,8620731767,0
전북,택시 운송업,162000,1
전북,피자 햄버거 샌드위치 및 유사 음식점업,1773540112,1
전북,한식 음식점업,22542763843,1
전북,호텔업,411200,1
전북,화장품 및 방향제 소매업,814236250,1
전북,휴양콘도 운영업,23791950,0
제주,건강보조식품 소매업,80401810,0
제주,골프장 운영업,1227910031,0
제주,과실 및 채소 소매업,612861477,1
제주,관광 민예품 및 선물용품 소매업,51733910,1
제주,그외 기타 분류안된 오락관련 서비스업,313500,1
제주,그외 기타 종합 소매업,3282513600,1
제주,기타 대형 종합 소매업,4391495540,1
제주,기타 수상오락 서비스업,1606700,0
제주,기타 외국식 음식점업,412219149,1
제주,기타 주점업,891112022,1
제주,기타음식료품위주종합소매업,3616119943,1
제주,내항 여객 운송업,66432400,1
제주,마사지업,2660000,1
제주,면세점,2590699901,1
제주,비알콜 음료점업,769358749,1
제주,빵 및 과자류 소매업,1052147937,0
제주,서양식 음식점업,1712389156,1
제주,수산물 소매업,552245270,1
제주,슈퍼마켓,10327678507,0
제주,스포츠 및 레크레이션 용품 임대업,1752880768,1
제주,여관업,267271952,1
제주,여행사업,3933600,1
제주,욕탕업,240490900,0
제주,육류 소매업,1000851231,0
제주,일반유흥 주점업,1707254256,1
제주,일식 음식점업,885288520,1
제주,자동차 임대업,207616003,1
제주,전시 및 행사 대행업,55301230,1
제주,정기 항공 운송업,199721907,1
제주,중식 음식점업,828641378,0
제주,차량용 가스 충전업,565815334,1
제주,차량용 주유소 운영업,7841132488,1
제주,체인화 편의점,6246694584,0
제주,택시 운송업,471100,1
제주,피자 햄버거 샌드위치 및 유사 음식점업,943596719,1
제주,한식 음식점업,15671285018,1
제주,호텔업,494941440,1
제주,화장품 및 방향제 소매업,467288060,1
제주,휴양콘도 운영업,38719765,1
충남,건강보조식품 소매업,670449450,1
충남,골프장 운영업,1312382850,0
충남,과실 및 채소 소매업,1431826146,0
충남,관광 민예품 및 선물용품 소매업,22472510,1
충남,그외 기타 분류안된 오락관련 서비스업,784000,0
충남,그외 기타 스포츠시설 운영업,663000,1
충남,그외 기타 종합 소매업,2196988620,1
충남,기타 대형 종합 소매업,9871186361,1
충남,기타 수상오락 서비스업,6434525,0
충남,기타 외국식 음식점업,1079188434,1
충남,기타 주점업,113051100,1
충남,기타음식료품위주종합소매업,8326522025,1
충남,마사지업,15589500,1
충남,버스 운송업,322074,1
충남,비알콜 음료점업,1175634714,1
충남,빵 및 과자류 소매업,1991696734,0
충남,서양식 음식점업,1845124973,1
충남,수산물 소매업,1238931536,0
충남,슈퍼마켓,16020384537,1
충남,스포츠 및 레크레이션 용품 임대업,2257710857,1
충남,여관업,339310650,1
충남,여행사업,4439200,1
충남,욕탕업,153349900,1
충남,육류 소매업,3095339050,1
충남,일반유흥 주점업,614055023,1
충남,일식 음식점업,989642566,1
충남,자동차 임대업,282000,1
충남,전시 및 행사 대행업,11218000,1
충남,중식 음식점업,1903291156,1
충남,차량용 가스 충전업,862866691,0
충남,차량용 주유소 운영업,29243419653,1
충남,체인화 편의점,12923476660,0
충남,피자 햄버거 샌드위치 및 유사 음식점업,1961622352,1
충남,한식 음식점업,21658350960,1
충남,호텔업,8423086,1
충남,화장품 및 방향제 소매업,938156862,1
충남,휴양콘도 운영업,40777824,0
충북,건강보조식품 소매업,108994913,1
충북,골프장 운영업,2520055794,0
충북,과실 및 채소 소매업,778014604,0
충북,관광 민예품 및 선물용품 소매업,22030970,0
충북,그외 기타 스포츠시설 운영업,1542000,1
충북,그외 기타 종합 소매업,2018011920,0
충북,기타 대형 종합 소매업,7340310090,1
충북,기타 수상오락 서비스업,942000,1
충북,기타 외국식 음식점업,897928491,1
충북,기타 주점업,133560265,1
충북,기타음식료품위주종합소매업,3568038293,1
충북,마사지업,5711000,1
충북,비알콜 음료점업,791044240,1
충북,빵 및 과자류 소매업,1349317721,1
충북,서양식 음식점업,1266956881,1
충북,수산물 소매업,266948716,0
충북,슈퍼마켓,14060507335,1
충북,스포츠 및 레크레이션 용품 임대업,1701216783,1
충북,여관업,212769900,1
충북,욕탕업,115135768,1
충북,육류 소매업,2608770846,1
충북,일반유흥 주점업,359244200,1
충북,일식 음식점업,597025825,1
충북,전시 및 행사 대행업,4375000,1
충북,중식 음식점업,1286269116,1
충북,차량용 가스 충전업,639658499,0
충북,차량용 주유소 운영업,20379074978,1
충북,체인화 편의점,8227830361,0
충북,택시 운송업,993360,1
충북,피자 햄버거 샌드위치 및 유사 음식점업,1315245299,1
충북,한식 음식점업,16152482704,1
충북,호텔업,15248550,1
충북,화장품 및 방향제 소매업,428881434,1
충북,휴양콘도 운영업,12733490,1
